EIT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 0 4
200 14
logT logNe 171 195 284 304
4.50000e+00 5.00000e+00 2.04054e-08 1.48903e-07 7.91761e-07 7.65390e-06
4.51758e+00 5.00000e+00 3.84747e-08 2.74581e-07 1.13252e-06 1.36835e-05
4.53517e+00 5.00000e+00 7.36120e-08 5.06556e-07 1.55058e-06 2.48737e-05
4.55276e+00 5.00000e+00 1.42421e-07 9.34775e-07 2.05552e-06 4.54820e-05
4.57035e+00 5.00000e+00 2.77881e-07 1.72584e-06 2.66673e-06 8.28026e-05
4.58793e+00 5.00000e+00 5.45211e-07 3.18751e-06 3.41949e-06 1.48492e-04
4.60552e+00 5.00000e+00 1.07403e-06 5.89457e-06 4.37697e-06 2.59677e-04
4.62311e+00 5.00000e+00 2.11749e-06 1.08992e-05 5.63029e-06 4.40246e-04
4.64070e+00 5.00000e+00 4.16163e-06 2.00833e-05 7.29688e-06 7.25994e-04
4.65829e+00 5.00000e+00 8.11988e-06 3.67460e-05 9.55042e-06 1.16846e-03
4.67587e+00 5.00000e+00 1.56541e-05 6.64835e-05 1.26554e-05 1.83980e-03
4.69346e+00 5.00000e+00 2.97011e-05 1.18531e-04 1.70359e-05 2.84102e-03
4.71105e+00 5.00000e+00 5.51638e-05 2.07251e-04 2.33657e-05 4.30727e-03
4.72864e+00 5.00000e+00 1.00040e-04 3.54581e-04 3.25844e-05 6.41821e-03
4.74623e+00 5.00000e+00 1.76960e-04 5.93009e-04 4.59390e-05 9.40627e-03
4.76381e+00 5.00000e+00 3.04695e-04 9.67607e-04 6.51090e-05 1.35585e-02
4.78140e+00 5.00000e+00 5.09666e-04 1.53754e-03 9.23144e-05 1.92239e-02
4.79899e+00 5.00000e+00 8.25036e-04 2.37086e-03 1.30223e-04 2.67827e-02
4.81658e+00 5.00000e+00 1.28782e-03 3.53566e-03 1.81919e-04 3.66124e-02
4.83417e+00 5.00000e+00 1.93703e-03 5.09499e-03 2.51359e-04 4.89917e-02
4.85175e+00 5.00000e+00 2.80533e-03 7.08737e-03 3.43276e-04 6.39596e-02
4.86934e+00 5.00000e+00 3.90676e-03 9.50216e-03 4.63136e-04 8.11727e-02
4.88693e+00 5.00000e+00 5.21496e-03 1.22386e-02 6.16416e-04 9.96515e-02
4.90452e+00 5.00000e+00 6.64421e-03 1.50785e-02 8.08025e-04 1.17656e-01
4.92211e+00 5.00000e+00 8.07638e-03 1.77735e-02 1.04291e-03 1.33263e-01
4.93969e+00 5.00000e+00 9.44255e-03 2.02408e-02 1.32886e-03 1.45487e-01
4.95728e+00 5.00000e+00 1.07067e-02 2.24984e-02 1.67668e-03 1.53810e-01
4.97487e+00 5.00000e+00 1.18572e-02 2.46340e-02 2.09974e-03 1.58024e-01
4.99246e+00 5.00000e+00 1.29079e-02 2.68046e-02 2.61573e-03 1.58202e-01
5.01005e+00 5.00000e+00 1.38943e-02 2.92288e-02 3.24773e-03 1.54645e-01
5.02763e+00 5.00000e+00 1.48737e-02 3.20691e-02 4.01784e-03 1.48165e-01
