EIT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 0 4
200 14
logT logNe 171 195 284 304
4.50000e+00 5.00000e+00 1.98232e-07 1.34211e-06 9.72197e-06 1.21489e-04
4.51758e+00 5.00000e+00 3.46701e-07 2.34218e-06 1.38945e-05 2.16998e-04
4.53517e+00 5.00000e+00 6.14126e-07 4.10085e-06 1.90079e-05 3.94296e-04
4.55276e+00 5.00000e+00 1.10019e-06 7.20165e-06 2.51734e-05 7.20949e-04
4.57035e+00 5.00000e+00 1.99183e-06 1.26867e-05 3.26171e-05 1.31279e-03
4.58793e+00 5.00000e+00 3.64149e-06 2.24175e-05 4.17506e-05 2.35496e-03
4.60552e+00 5.00000e+00 6.72631e-06 3.97698e-05 5.33105e-05 4.11939e-03
4.62311e+00 5.00000e+00 1.25274e-05 7.07410e-05 6.83555e-05 6.98518e-03
4.64070e+00 5.00000e+00 2.34176e-05 1.25739e-04 8.82427e-05 1.15203e-02
4.65829e+00 5.00000e+00 4.37285e-05 2.22530e-04 1.14971e-04 1.85425e-02
4.67587e+00 5.00000e+00 8.11530e-05 3.90534e-04 1.51571e-04 2.91965e-02
4.69346e+00 5.00000e+00 1.49046e-04 6.77374e-04 2.02881e-04 4.50846e-02
4.71105e+00 5.00000e+00 2.69430e-04 1.15594e-03 2.76542e-04 6.83511e-02
4.72864e+00 5.00000e+00 4.77916e-04 1.93621e-03 3.83128e-04 1.01846e-01
4.74623e+00 5.00000e+00 8.30305e-04 3.17925e-03 5.36579e-04 1.49256e-01
4.76381e+00 5.00000e+00 1.40901e-03 5.10655e-03 7.55606e-04 2.15133e-01
4.78140e+00 5.00000e+00 2.32951e-03 8.00749e-03 1.06495e-03 3.05011e-01
4.79899e+00 5.00000e+00 3.73614e-03 1.22145e-02 1.49444e-03 4.24916e-01
4.81658e+00 5.00000e+00 5.78938e-03 1.80623e-02 2.07899e-03 5.80828e-01
4.83417e+00 5.00000e+00 8.65846e-03 2.58614e-02 2.86379e-03 7.77159e-01
4.85175e+00 5.00000e+00 1.24843e-02 3.58005e-02 3.90374e-03 1.01451e+00
4.86934e+00 5.00000e+00 1.73262e-02 4.78242e-02 5.26379e-03 1.28744e+00
4.88693e+00 5.00000e+00 2.30651e-02 6.14272e-02 7.01199e-03 1.58038e+00
4.90452e+00 5.00000e+00 2.93210e-02 7.55163e-02 9.21459e-03 1.86575e+00
4.92211e+00 5.00000e+00 3.55727e-02 8.88466e-02 1.19421e-02 2.11305e+00
4.93969e+00 5.00000e+00 4.15200e-02 1.01001e-01 1.52968e-02 2.30661e+00
4.95728e+00 5.00000e+00 4.70081e-02 1.12055e-01 1.94163e-02 2.43820e+00
4.97487e+00 5.00000e+00 5.19879e-02 1.22422e-01 2.44675e-02 2.50450e+00
4.99246e+00 5.00000e+00 5.65215e-02 1.32847e-01 3.06654e-02 2.50663e+00
5.01005e+00 5.00000e+00 6.07648e-02 1.44361e-01 3.82835e-02 2.44936e+00
5.02763e+00 5.00000e+00 6.49665e-02 1.57730e-01 4.75856e-02 2.34555e+00
5.04522e+00 5.00000e+00 6.94789e-02 1.73456e-01 5.87917e-02 2.21251e+00
5.06281e+00 5.00000e+00 7.47526e-02 1.92173e-01 7.20350e-02 2.06561e+00
5.08040e+00 5.00000e+00 8.13939e-02 2.14764e-01 8.73196e-02 1.91716e+00
5.09799e+00 5.00000e+00 9.02593e-02 2.42467e-01 1.04431e-01 1.77649e+00
5.11557e+00 5.00000e+00 1.02503e-01 2.76860e-01 1.22888e-01 1.64963e+00
5.13316e+00 5.00000e+00 1.19140e-01 3.19168e-01 1.42276e-01 1.53630e+00
5.15075e+00 5.00000e+00 1.41362e-01 3.70400e-01 1.62095e-01 1.43497e+00
5.16834e+00 5.00000e+00 1.70896e-01 4.31593e-01 1.81688e-01 1.34435e+00
5.18592e+00 5.00000e+00 2.10201e-01 5.03620e-01 2.00200e-01 1.26350e+00
5.20351e+00 5.00000e+00 2.62907e-01 5.87183e-01 2.16617e-01 1.19153e+00
5.22110e+00 5.00000e+00 3.33708e-01 6.82987e-01 2.30002e-01 1.12753e+00
