EUVI-A filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 0 4
200 14
logT logNe 171 195 284 304
4.50000e+00 5.00000e+00 3.82376e-08 8.44524e-07 8.27796e-05 9.51036e-04
4.51758e+00 5.00000e+00 8.46702e-08 1.70411e-06 1.17056e-04 1.63400e-03
4.53517e+00 5.00000e+00 1.83189e-07 3.36334e-06 1.58881e-04 2.85783e-03
4.55276e+00 5.00000e+00 3.88760e-07 6.52070e-06 2.09363e-04 5.04062e-03
4.57035e+00 5.00000e+00 8.12255e-07 1.24700e-05 2.70715e-04 8.88732e-03
4.58793e+00 5.00000e+00 1.67558e-06 2.36016e-05 3.46916e-04 1.55216e-02
4.60552e+00 5.00000e+00 3.42519e-06 4.43912e-05 4.45036e-04 2.66274e-02
4.62311e+00 5.00000e+00 6.94192e-06 8.30391e-05 5.74994e-04 4.46286e-02
4.64070e+00 5.00000e+00 1.39205e-05 1.54126e-04 7.48656e-04 7.31925e-02
4.65829e+00 5.00000e+00 2.75472e-05 2.83025e-04 9.82599e-04 1.17644e-01
4.67587e+00 5.00000e+00 5.36129e-05 5.12372e-04 1.30049e-03 1.85451e-01
4.69346e+00 5.00000e+00 1.02335e-04 9.11730e-04 1.73766e-03 2.86958e-01
4.71105e+00 5.00000e+00 1.90753e-04 1.58777e-03 2.34559e-03 4.35680e-01
4.72864e+00 5.00000e+00 3.46566e-04 2.70091e-03 3.19289e-03 6.49451e-01
4.74623e+00 5.00000e+00 6.13290e-04 4.48468e-03 4.36673e-03 9.51467e-01
4.76381e+00 5.00000e+00 1.05522e-03 7.25647e-03 5.97764e-03 1.37036e+00
4.78140e+00 5.00000e+00 1.76228e-03 1.14228e-02 8.16418e-03 1.94105e+00
4.79899e+00 5.00000e+00 2.84643e-03 1.74349e-02 1.10827e-02 2.70186e+00
4.81658e+00 5.00000e+00 4.43134e-03 2.57190e-02 1.49027e-02 3.69140e+00
4.83417e+00 5.00000e+00 6.64588e-03 3.66408e-02 1.98200e-02 4.93828e+00
4.85175e+00 5.00000e+00 9.59555e-03 5.03691e-02 2.60350e-02 6.44689e+00
4.86934e+00 5.00000e+00 1.33218e-02 6.67141e-02 3.37331e-02 8.18311e+00
4.88693e+00 5.00000e+00 1.77297e-02 8.48686e-02 4.30171e-02 1.00485e+01
4.90452e+00 5.00000e+00 2.25266e-02 1.03261e-01 5.38538e-02 1.18674e+01
4.92211e+00 5.00000e+00 2.73164e-02 1.20229e-01 6.61782e-02 1.34457e+01
4.93969e+00 5.00000e+00 3.18761e-02 1.35395e-01 8.02047e-02 1.46842e+01
4.95728e+00 5.00000e+00 3.60974e-02 1.49124e-01 9.63747e-02 1.55313e+01
4.97487e+00 5.00000e+00 3.99569e-02 1.62289e-01 1.15355e-01 1.59664e+01
4.99246e+00 5.00000e+00 4.35196e-02 1.76256e-01 1.38179e-01 1.59971e+01
5.01005e+00 5.00000e+00 4.69248e-02 1.92863e-01 1.66384e-01 1.56538e+01
5.02763e+00 5.00000e+00 5.03650e-02 2.13418e-01 2.01387e-01 1.50166e+01
5.04522e+00 5.00000e+00 5.40940e-02 2.38674e-01 2.44225e-01 1.41929e+01
5.06281e+00 5.00000e+00 5.84390e-02 2.69582e-01 2.95670e-01 1.32788e+01
5.08040e+00 5.00000e+00 6.38446e-02 3.07441e-01 3.56065e-01 1.23515e+01
5.09799e+00 5.00000e+00 7.09415e-02 3.54017e-01 4.24939e-01 1.14700e+01
