EUVI-B filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 0 4
200 14
logT logNe 171 195 284 304
4.50000e+00 5.00000e+00 1.60639e-08 3.77851e-07 2.63424e-05 2.85102e-04
4.51758e+00 5.00000e+00 3.50372e-08 7.66446e-07 3.72469e-05 4.90878e-04
4.53517e+00 5.00000e+00 7.49649e-08 1.51969e-06 5.05423e-05 8.60334e-04
4.55276e+00 5.00000e+00 1.57844e-07 2.95817e-06 6.65690e-05 1.52046e-03
4.57035e+00 5.00000e+00 3.28106e-07 5.67673e-06 8.60110e-05 2.68559e-03
4.58793e+00 5.00000e+00 6.74888e-07 1.07756e-05 1.10102e-04 4.69732e-03
4.60552e+00 5.00000e+00 1.37810e-06 2.03153e-05 1.41032e-04 8.06704e-03
4.62311e+00 5.00000e+00 2.79402e-06 3.80726e-05 1.81874e-04 1.35295e-02
4.64070e+00 5.00000e+00 5.61089e-06 7.07671e-05 2.36298e-04 2.21959e-02
4.65829e+00 5.00000e+00 1.11278e-05 1.30097e-04 3.09438e-04 3.56791e-02
4.67587e+00 5.00000e+00 2.17150e-05 2.35730e-04 4.08632e-04 5.62402e-02
4.69346e+00 5.00000e+00 4.15678e-05 4.19778e-04 5.44855e-04 8.70141e-02
4.71105e+00 5.00000e+00 7.76977e-05 7.31529e-04 7.34151e-04 1.32101e-01
4.72864e+00 5.00000e+00 1.41532e-04 1.24516e-03 9.97875e-04 1.96915e-01
4.74623e+00 5.00000e+00 2.51075e-04 2.06871e-03 1.36313e-03 2.88493e-01
4.76381e+00 5.00000e+00 4.33013e-04 3.34905e-03 1.86433e-03 4.15526e-01
4.78140e+00 5.00000e+00 7.24793e-04 5.27441e-03 2.54471e-03 5.88608e-01
4.79899e+00 5.00000e+00 1.17325e-03 8.05371e-03 3.45323e-03 8.19361e-01
4.81658e+00 5.00000e+00 1.83043e-03 1.18844e-02 4.64329e-03 1.11949e+00
4.83417e+00 5.00000e+00 2.75096e-03 1.69359e-02 6.17713e-03 1.49765e+00
4.85175e+00 5.00000e+00 3.98028e-03 2.32864e-02 8.11934e-03 1.95519e+00
4.86934e+00 5.00000e+00 5.53762e-03 3.08481e-02 1.05313e-02 2.48173e+00
4.88693e+00 5.00000e+00 7.38568e-03 3.92473e-02 1.34507e-02 3.04743e+00
4.90452e+00 5.00000e+00 9.40455e-03 4.77566e-02 1.68752e-02 3.59902e+00
4.92211e+00 5.00000e+00 1.14304e-02 5.56065e-02 2.07933e-02 4.07763e+00
4.93969e+00 5.00000e+00 1.33714e-02 6.26233e-02 2.52787e-02 4.45318e+00
4.95728e+00 5.00000e+00 1.51838e-02 6.89782e-02 3.04753e-02 4.71003e+00
4.97487e+00 5.00000e+00 1.68598e-02 7.50778e-02 3.65977e-02 4.84192e+00
4.99246e+00 5.00000e+00 1.84294e-02 8.15577e-02 4.39761e-02 4.85115e+00
5.01005e+00 5.00000e+00 1.99554e-02 8.92738e-02 5.30986e-02 4.74694e+00
5.02763e+00 5.00000e+00 2.15203e-02 9.88358e-02 6.44192e-02 4.55359e+00
5.04522e+00 5.00000e+00 2.32307e-02 1.10596e-01 7.82741e-02 4.30378e+00
5.06281e+00 5.00000e+00 2.52260e-02 1.24997e-01 9.49123e-02 4.02661e+00
5.08040e+00 5.00000e+00 2.76976e-02 1.42646e-01 1.14440e-01 3.74556e+00
5.09799e+00 5.00000e+00 3.09196e-02 1.64367e-01 1.36699e-01 3.47854e+00
5.11557e+00 5.00000e+00 3.52627e-02 1.91174e-01 1.61190e-01 3.23727e+00
5.13316e+00 5.00000e+00 4.10607e-02 2.23849e-01 1.87551e-01 3.02143e+00
5.15075e+00 5.00000e+00 4.86998e-02 2.62899e-01 2.15336e-01 2.82824e+00
5.16834e+00 5.00000e+00 5.87292e-02 3.08606e-01 2.43894e-01 2.65540e+00
5.18592e+00 5.00000e+00 7.19142e-02 3.60765e-01 2.72293e-01 2.50120e+00
