GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
       2 2002 12 21  0  0  4 239  4.2391    157.61759   1265.15120    962.69824     -0.54583      0.47077     -0.08025    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14128  -0.40992  46.26908
       3 2002 12 21  0  0  8 433  4.1946    157.64879   1264.86101    962.73169     -1.05750      0.95777     -0.15656    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14098  -0.40992  46.10231
       4 2002 12 21  0  0 12 633  4.2001    157.65464   1264.56294    962.77871     -1.51635      1.37760     -0.23083    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14067  -0.40992  46.00457
       5 2002 12 21  0  0 16 839  4.2057    157.64720   1264.26324    962.83427     -1.88595      1.75573     -0.30376    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14037  -0.40992  45.92106
       6 2002 12 21  0  0 21  49  4.2104    157.62966   1263.96706    962.89564     -2.14888      2.10154     -0.37520    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14006  -0.40992  45.84111
       7 2002 12 21  0  0 25 264  4.2143    157.62811   1263.67791    962.96134     -2.41976      2.46148     -0.44482    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13976  -0.40992  45.76469
       8 2002 12 21  0  0 29 481  4.2172    157.64134   1263.39764    963.03036     -2.73731      2.75537     -0.51237    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13945  -0.40992  45.68840
       9 2002 12 21  0  0 33 699  4.2185    157.66331   1263.12686    963.10199     -3.15444      2.95626     -0.57767    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13914  -0.40992  45.61488
      10 2002 12 21  0  0 37 917  4.2179    157.66799   1262.86574    963.17572     -3.56560      3.05339     -0.64066    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13884  -0.40992  45.54139
      11 2002 12 21  0  0 42 136  4.2184    157.66637   1262.61382    963.25121     -3.96040      3.10648     -0.70135    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13853  -0.40992  45.47060
      12 2002 12 21  0  0 46 352  4.2166    157.67056   1262.37106    963.32817     -4.38264      3.24138     -0.75959    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13822  -0.40992  45.39985
      13 2002 12 21  0  0 50 565  4.2125    157.68732   1262.13728    963.40633     -4.82067      3.26305     -0.81535    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13792  -0.40992  45.33164
      14 2002 12 21  0  0 54 773  4.2078    157.70513   1261.91223    963.48547     -5.24783      3.30408     -0.86872    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13761  -0.40992  45.26345
      15 2002 12 21  0  0 58 976  4.2032    157.70861   1261.69572    963.56545     -5.65285      3.34498     -0.91971    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13730  -0.40992  45.19773
      16 2002 12 21  0  1  3 175  4.1988    157.70478   1261.48772    963.64616     -6.02702      3.42027     -0.96835    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13700  -0.40992  45.13196
      17 2002 12 21  0  1  7 369  4.1943    157.70108   1261.28830    963.72754     -6.36331      3.53499     -1.01454    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13669  -0.40992  45.06873
      18 2002 12 21  0  1 11 558  4.1895    157.70216   1261.09755    963.80942     -6.86781      3.56057     -1.05840    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13639  -0.40992  45.00541
      19 2002 12 21  0  1 15 743  4.1844    157.70791   1260.91557    963.89171     -7.38249      3.75115     -1.09977    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13608  -0.40992  44.94416
      20 2002 12 21  0  1 19 923  4.1798    157.70748   1260.74237    963.97427     -7.87771      3.80778     -1.13875    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13578  -0.40992  44.88256
      21 2002 12 21  0  1 24  99  4.1760    157.69850   1260.57803    964.05708     -8.35392      3.83998     -1.17532    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13548  -0.40992  44.82290
      22 2002 12 21  0  1 28 271  4.1728    157.68714   1260.62826    964.14005     -8.91386      4.13840     -1.20951    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13517  -0.40992  44.76301
