GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
       2 2017  8 21  0  0  4 896  4.8960    177.13353    905.41277    814.25179     -0.43897      0.59902     -0.08970     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14124   0.20274  -1.00000
       3 2017  8 21  0  0  9 763  4.8679    177.15046    905.00227    814.07976     -0.81918      1.12356     -0.17612     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14088   0.20274  -1.00000
       4 2017  8 21  0  0 14 633  4.8698    177.17161    904.63186    813.92028     -1.13116      1.59687     -0.26552     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14053   0.20274  -1.00000
       5 2017  8 21  0  0 19 506  4.8725    177.20004    904.28408    813.76847     -1.38169      2.04332     -0.35972     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14017   0.20274  -1.00000
       6 2017  8 21  0  0 24 382  4.8764    177.24322    903.95061    813.62250     -1.57635      2.41107     -0.45916     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13982   0.20274  -1.00000
       7 2017  8 21  0  0 29 260  4.8781    177.30174    903.62736    813.48167     -1.73641      2.70275     -0.56302     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13946   0.20274  -1.00000
       8 2017  8 21  0  0 34 134  4.8739    177.36509    903.31249    813.34572     -1.92447      2.95026     -0.67066     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13911   0.20273  -1.00000
       9 2017  8 21  0  0 39   4  4.8701    177.41674    903.00492    813.21435     -2.14794      3.21788     -0.78256     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13876   0.20273  -1.00000
      10 2017  8 21  0  0 43 871  4.8672    177.46207    902.70419    813.08753     -2.34483      3.42153     -0.89834     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13840   0.20273  -1.00000
      11 2017  8 21  0  0 48 737  4.8652    177.51528    902.41012    812.96530     -2.55024      3.54939     -1.01759     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13805   0.20273  -1.00000
